Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
C	2333	Pavement Coffee House	5	1	16	Active	12/31/2014 23:59	24479	286   Newbury ST	Boston	MA	2115
D	2334	Pavement Coffeehouse	4	5	39	Active	12/31/2015 23:59	34773	1096   Boylston ST	Boston	MA	2215
B	2335	Pavement Coffeehouse	0	1	7	Active	12/31/2015 23:59	21104	1243   Commonwealth AV	Allston	MA	2134
D	2336	Pavement Coffeehouse	2	11	41	Active	12/31/2015 23:59	24478	44   Gainsborough ST	Boston	MA	2115
D	2337	Pavia	6	1	12	Active	12/31/2015 23:59	73872	82   Water ST	Boston	MA	2109
B	2338	Pavillion Restaurant	3	0	12	Active	12/31/2014 23:59	24578	4   Yawkey WY	Boston	MA	2115
A	2339	Pazzo Ristorante	0	0	2	Inactive	12/31/2010 0:00	23184	269   Newbury ST	Boston	MA	2116
A	2340	Peace O' Pie	0	0	3	Inactive	12/31/2013 23:59	34222	487   Cambridge ST	Allston	MA	2134
C	2341	Pedro's Tacos	5	1	4	Active	12/31/2015 23:59	81338	53   Bromfield ST	Boston	MA	2108
B	2342	Peet's Coffee Shop	2	1	8	Active	12/31/2014 23:59	67824	625  Huntington Av	Boston	MA	2115
D	2343	Peggy O'Neil's Pub & Grille	6	0	32	Active	12/31/2015 23:59	19097	1310   DORCHESTER  AV	DORCHESTER	MA	2122
C	2344	Pellinos Ristorante	1	3	15	Active	12/31/2015 23:59	78422	2   Prince ST	Boston	MA	2113
A	2345	Penalty Box Lounge	0	0	3	Inactive	12/31/2011 23:59	18255	65   CAUSEWAY	BOSTON	MA	2114
D	2346	Penang	4	4	35	Inactive	12/31/2012 23:59	33509	685   Washington ST	Boston	MA	2111
B	2347	Penang	3	0	6	Active	12/31/2015 23:59	78407	687   Washington ST	Boston	MA	2116
D	2348	Penguin Pizza	7	3	93	Active	12/31/2015 23:59	23319	735   HUNTINGTON  AV	BOSTON	MA	2115
B	2349	Perla Del Sur Quintanilla	2	1	32	Active	12/31/2015 23:59	34702	454   HYDE PARK AV	ROSLINDALE	MA	2131
D	2350	Perry's Catering	8	2	53	Active	12/31/2014 23:59	24720	499   Washington ST	Dorchester	MA	2124
B	2351	Pete's Dockside	2	1	9	Active	12/31/2015 23:59	31879	12   Channel ST	Boston	MA	2210
C	2352	Pete's Seafood	5	3	37	Active	12/31/2015 23:59	37227	267   Bowdoin ST	Dorchester	MA	2122
A	2353	Peter Pan @ City Hall Plaza	1	0	2	Inactive	12/31/2011 23:59	76817	1   City Hall PZ	Boston	MA	2201
D	2354	Peter's Delicatessen	7	0	6	Inactive	12/31/2010 23:59	22978	71   Broad ST	Boston	MA	2109
F	2355	Petit Robert Central	19	4	22	Active	12/31/2015 23:59	22820	93   Arch ST	Boston	MA	2110
B	2356	Philadelphia Steak & Grill	4	0	13	Inactive	12/31/2011 23:59	26398	985   Bennington ST	East Boston	MA	2128
F	2357	Philadelphia Steak & Hoagie	22	0	68	Active	12/31/2014 23:59	26361	200   Faneuil Hall Market PL	Boston	MA	2109
B	2358	Philips Seafood Express	3	0	37	Active	12/31/2015 23:59	31282	100   LOGAN AIRPORT TRMNL A	EAST BOSTON	MA	2128
F	2359	Pho Basil	23	11	50	Active	12/31/2015 23:59	31166	177   MASSACHUSETTS  AV	BOSTON	MA	2115
F	2360	Pho Hoa Restaurant	25	5	72	Active	12/31/2015 23:59	67432	1370   Dorchester AV	Dorchester	MA	2122
F	2361	Pho Le	10	8	51	Active	12/31/2015 23:59	68290	1356   Dorchester AV	Dorchester	MA	2122
F	2362	Pho So1 Boston	11	7	58	Inactive	12/31/2013 23:59	75068	223   Adams ST	Dorchester	MA	2122
A	2363	Pho Viets	0	0	14	Active	12/31/2015 23:59	33917	1095   COMMONWEALTH AV	ALLSTON	MA	2134
D	2364	Phuket Thai  Restaurant	5	4	40	Active	12/31/2015 23:59	26470	1852   Centre ST	West Roxbury	MA	2132
B	2365	Piadina Cafe	2	0	5	Active	12/31/2015 23:59	120118	75   State ST	Boston	MA	2109
C	2366	Piattini	5	1	9	Active	12/31/2015 23:59	21713	226   Newbury ST	Boston	MA	2116
B	2367	Pic A Pasta	3	1	13	Active	12/31/2015 23:59	31544	594   Washington ST	Brighton	MA	2135
